SMILES,molaff,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MinPartialCharge,PEOE_VSA2,NumRotatableBonds
[O-]P([O-])(=O)OC[C@@H]1[C@@H](O)[C@@H](O)[C@@H](O1)n(c(n2)=O)ccc2N,-5.1227,12.47773383,0.378811948,0.46602712,-0.789873387,4.567099648,7
C1OC(=O)[C@](C)(O)[C@](C)(O)[C@@H](C(C)C)C(=O)O[C@H]([C@H]2C1=3)CC[N@@H+]2CC3,-3.6499,14.68912935,2.158652106,0.405415035,-0.458709086,4.794537184,7
COc(c1O)ccc(c12)C(=O)c3c(C2=O)cccc3,-5.1125,13.04698885,0.678870032,0.722515693,-0.503728436,9.589074368,3
O=Cc1cc(OC)c(cc1)O[C@H](O2)[C@H](O)[C@@H](O)[C@@H](O)[C@H]2CO,-5.2209,11.68505458,1.208370071,0.493473642,-0.492842465,4.794537184,10
C[C@@H]1OC=C(C(=O)OC)[C@@H](C2)[C@H]1CN(CC3)[C@@H]2c(c3c45)[nH]c4cc(cc5)OC,-4.8895,13.49673828,0.249082459,0.808502551,-0.497392083,4.899909731,5
Cc(o1)cc(=O)c(c2OC)c1c(OC)c(c23)occ3,-5.8666,12.88597695,0.59610308,0.708571201,-0.49505319,4.794537184,5
Oc1cccc(c12)C(=O)C=CC2=O,-4.8009,11.85914966,0.56087963,0.645013936,-0.507159496,9.589074368,1
COc(cc1)c(OC)cc1Cc2[n+](C)ccc(c23)cc(OC)c(c3)OC,-6.2941,9.112148054,0.196242914,0.63714729,-0.492869975,0,11
CC(=O)[C@@]1(O)[C@H](C)C[C@H]([C@]12C)[C@H]3[C@@H](CC2)[C@]4(C)C(=CC3)C[C@@H](O)CC4,-4.4007,14.39941202,2.603705869,0.708591235,-0.392796685,4.794537184,7
C[C@@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O1)O[C@@H]([C@H]2CO)[C@H](O)[C@@H](O)[C@@H](O2)Oc(c3=O)c(-c4cc(O)c(O)cc4)oc(c35)cc(O)cc5O,-4.2815,14.82085651,1.175701425,0.139517843,-0.507678166,4.794537184,17
COc(cc1)c(OC)cc1-c(cc2=O)oc(c23)cc(cc3)OC,-5.8391,13.04429534,0.803592154,0.737882775,-0.496623594,4.794537184,7
C[C@@H]1OC=C(C(=O)OC)[C@@H](C2)[C@H]1C[N@@H+](CC3)[C@H]2[C@@]34c5c(NC4=O)cc(cc5)OC,-1.8419,14.67593024,0.608169572,0.71455425,-0.497205269,4.794537184,5
C[N@@+]12[C@@H]3C(CC1)=C[C@H](O)[C@@H](O)[C@H]3c4c(C2)cc5c(c4)OCO5,-6.1696,9.61448082,1.023537887,0.551972863,-0.453584443,0,3
C1C[N@@+](C)([C@H]2C3)CC(=C\C)\[C@H]3C(C=O)=C4Nc(c5[C@]124)cccc5,-5.4863,13.29270861,0.165003779,0.490814292,-0.357359566,4.794537184,3
Cc1c(O)c(=O)cco1,-4.7705,11.22560185,0.842361111,0.554938716,-0.501796197,4.794537184,2
c1coc(c12)[nH+]c3c(c2OC)ccc(OC)c3OC,-6.1983,8.369311224,0.275847506,0.725376996,-0.49482349,0,6
COc(cc1)ccc1\C=C\C(=O)OC[C@@H]2CCC[N@@H+]([C@@H]23)CCCC3,-6.0469,13.2369073,1.161661347,0.663827717,-0.496767824,0,6
C1C[N+](C)=Cc(c2OC)c1cc(c23)OCO3,-5.2141,8.244689153,0.175599962,0.662502586,-0.491889375,0,3
C1C[N+](C)(C)Cc(c12)cc(OC)c(c2)OC,-4.1779,8.533213459,1.395261716,0.710821181,-0.492859146,0,6
n1c([O-])cnc(c12)[nH]c(N)[nH+]c2=O,-4.5009,11.65211262,0.076460695,0.474268899,-0.85752561,10.7036955,1
